"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209074_s_at",3.37179857065764,8.99517867345794,24.0140161015568,3.23063495925291e-45,7.19882387970325e-41,92.4400697813285
"209555_s_at",2.41698373264814,8.26109862261682,22.4232931968746,1.58849549762035e-42,1.76982225867371e-38,86.3263105582354
"204396_s_at",2.3880717862727,8.67718884225234,22.1928815869017,3.99225282542382e-42,2.96531232363063e-38,85.4161718486452
"206209_s_at",2.55350849621429,8.08208037337383,22.0031116376778,8.56774637956649e-42,4.772877314397e-38,84.6617955791039
"204271_s_at",2.22749191157636,8.7836255275514,21.9420246998206,1.09651111476043e-41,4.88671143404135e-38,84.418039753376
"204677_at",2.61957336314814,8.00420388171963,21.8236031108179,1.77119293319102e-41,6.57791535504924e-38,83.9442168695743
"210081_at",4.41746953099297,9.48229621814019,21.4864384363449,7.00048432640343e-41,2.22845417493211e-37,82.5858433255393
"32625_at",1.18215100351619,7.53375627257944,21.421228317081,9.14621159088949e-41,2.54756291099738e-37,82.3215227607971
"206702_at",2.46645478325159,8.46804697311215,21.3574620124648,1.18849214341656e-40,2.58713780765521e-37,82.0625504064362
"219719_at",1.36397313661084,8.57418329919626,21.3514421207914,1.21827773105844e-40,2.58713780765521e-37,82.0380762022489
"205200_at",3.41185349805841,8.90118764742991,21.3399695531653,1.2771402362432e-40,2.58713780765521e-37,81.9914215154943
"204931_at",2.53009790955736,7.35600441296262,21.1418298667392,2.89224073255007e-40,5.37065002028443e-37,81.1831048807402
"219213_at",1.55913243015764,8.58306221443925,21.0714013452049,3.87177456792626e-40,6.21895414082344e-37,80.8946227226979
"217046_s_at",3.03768888583217,7.8582212571028,21.0692010767405,3.90725476693121e-40,6.21895414082344e-37,80.8856003236023
"209875_s_at",-4.36441512427305,9.69923956271028,-20.9993700546069,5.22079560251261e-40,7.75566589405257e-37,80.5989404595396
"204273_at",3.16126027764427,6.83445309162617,20.8948979853735,8.06336783519493e-40,1.1229751591978e-36,80.1689480491661
"208982_at",1.81391374177059,10.6673127988037,20.7577463725739,1.42961276219458e-39,1.87388595176364e-36,79.6023905882805
"213103_at",1.21981976711928,8.18895597621495,20.738385513752,1.55026503873137e-39,1.91914199211395e-36,79.5222242838811
"209470_s_at",2.83583721829522,7.34324780812149,20.6959253662378,1.85201589025626e-39,2.17202474118844e-36,79.3462483449584
"208981_at",1.68890249667136,10.1527935483178,20.6039872256386,2.72404762746323e-39,3.03499766413816e-36,78.9644387974903
"219597_s_at",2.17652347704117,7.60833419566355,20.4358254519649,5.53186002713973e-39,5.86983033260736e-36,78.2633403099218
"202112_at",2.25847350861717,10.6017199527103,20.3696029149857,7.31879008153579e-39,7.41293633576645e-36,77.9862710940986
"201540_at",2.55504116710627,10.7720158038879,20.2361931603,1.28841513672973e-38,1.24825019529342e-35,77.4264192127305
"207547_s_at",1.89638636763899,8.10862416999065,20.2157211599712,1.40549801234943e-38,1.25082382426417e-35,77.3403100748832
"203980_at",3.83854131283955,8.89436546376636,20.2110919060111,1.43342548808657e-38,1.25082382426417e-35,77.32083121159
"209614_at",1.55150138764497,6.97818220730841,20.206855523849,1.4594722178732e-38,1.25082382426417e-35,77.3030030924253
"205935_at",2.22805788298065,8.32356754425234,20.0687689796261,2.62809281066977e-38,2.16895526296868e-35,76.7206458852261
"205357_s_at",1.69910265594124,7.35429694220561,19.9987125089286,3.5450972192538e-38,2.82126433345116e-35,76.4242709407091
"206481_s_at",2.21178255434061,9.16925082266355,19.9821607456856,3.80520334773658e-38,2.91030522927923e-35,76.3541575492933
"206742_at",2.55490155608797,8.98701687421495,19.9753225347827,3.91819579403029e-38,2.91030522927923e-35,76.3251806878002
"204719_at",2.95990968806756,7.83955245192523,19.9447755213209,4.46566335096483e-38,3.20994762740482e-35,76.1956654807026
"210299_s_at",2.68417512565693,7.89053779552336,19.9286446470051,4.78520282968606e-38,3.3321460829342e-35,76.127224941368
"206701_x_at",2.29893179844617,7.82647898683178,19.861905856732,6.37130730013951e-38,4.30217698693966e-35,75.84371222224
"214505_s_at",1.88907486206862,8.7088632091028,19.6526171900109,1.56917396092539e-37,1.02840892268531e-34,74.9509563923272
"206283_s_at",1.29273068848065,6.45090858492523,19.6053323419412,1.92503174535576e-37,1.2255852109075e-34,74.7484811226488
"205779_at",1.76885403218262,8.28092942399065,19.3675728271755,5.40275047412804e-37,3.3441524670832e-34,73.7260523005329
"220027_s_at",1.59480444478431,8.95697209902804,19.3270991930979,6.44485989836232e-37,3.88137332743804e-34,73.5512834640575
"206069_s_at",1.51304482928396,7.06457587505608,19.2049716288094,1.09871968490048e-36,6.44283440490457e-34,73.0226507125516
"204731_at",2.42220168031985,8.36735144693458,19.1846448449584,1.20095089755306e-36,6.86174073081409e-34,72.9344795864151
"206488_s_at",2.56711535417382,7.57859119154206,19.0277190183897,2.39099019853858e-36,1.32075855380892e-33,72.2519957741087
"204482_at",1.88827772944581,9.20338721933645,19.0237863230684,2.43270573249857e-36,1.32075855380892e-33,72.2348514185501
"205952_at",2.04944326425546,7.85916657570093,19.0185466766264,2.48942508908022e-36,1.32075855380892e-33,72.2120063897421
"213451_x_at",1.69411374958093,9.6217209533271,19.0028414115343,2.66753655171576e-36,1.38234225539261e-33,72.1435097296716
"215454_x_at",3.98982156871535,8.78325574483178,18.9401492323097,3.51595828974101e-36,1.78059314932498e-33,71.8697684261696
"216333_x_at",1.65222290862421,9.56956226775701,18.928474696783,3.70170186190928e-36,1.8330005019761e-33,71.8187363565428
"206208_at",2.00928437987404,6.63900695658879,18.8925070235575,4.33839863699432e-36,2.10157688756836e-33,71.6614028973124
"206068_s_at",1.73772780175686,6.78306473764486,18.8794433434866,4.59602162214095e-36,2.17900318736525e-33,71.604217097383
"200878_at",2.08742540826355,11.953380323972,18.7966579948793,6.62764516654899e-36,3.0767461926294e-33,71.2413150479357
"218665_at",0.931870020957074,8.93067499985981,18.7266564452225,9.0381603377405e-36,4.11014952665044e-33,70.9337620984973
"203065_s_at",2.67774073700176,10.5754072129813,18.7060572350626,9.90319234083323e-36,4.41345669861574e-33,70.8431385612889
"41644_at",1.14651536676566,10.3827765751215,18.6513562414748,1.26269460337687e-35,5.51698506804838e-33,70.6022224647598
"203865_s_at",1.8991925178114,8.26821612824299,18.5555528750873,1.93422644102152e-35,8.28853226640047e-33,70.179349505791
"209841_s_at",1.45953624165552,7.80669257509346,18.5507957989705,1.9756814690207e-35,8.3064358819223e-33,70.1583209831865
"219064_at",1.13896932247572,7.66845427128972,18.540945440506,2.06438639744962e-35,8.51865223969812e-33,70.1147684382728
"213236_at",1.49039012940641,9.42174955386916,18.4261294051331,3.44756184812796e-35,1.39676401203337e-32,69.6061925154091
"202524_s_at",2.03189162242646,9.2070232838785,18.3892363804488,4.06659866350069e-35,1.61814317890689e-32,69.4424130868592
"204642_at",1.27744822288213,8.19024606838318,18.3551150349068,4.73837160216588e-35,1.8516780465032e-32,69.290781081123
"213974_at",1.9936949073582,6.84047985876636,18.3513190458618,4.81969782781429e-35,1.8516780465032e-32,69.2739027462693
"210298_x_at",2.3636024065176,8.47389703043925,18.287407467469,6.42056257590769e-35,2.42490501489747e-32,68.9894485582023
"200911_s_at",1.49805906765236,11.2967382122243,18.1580238793687,1.14923537517736e-34,4.26806864417952e-32,68.4119748610457
"209469_at",2.3273083293385,6.36763252818692,18.0810916540207,1.62623654262812e-34,5.94056211137415e-32,68.0675771536829
"209170_s_at",2.22453822527903,7.91219361645794,17.9719543861602,2.66461521934971e-34,9.57671305367251e-32,67.5776930639056
"213316_at",1.8764116398012,6.51866265204673,17.9389689434097,3.09441720225767e-34,1.0944904526652e-31,67.4293275947318
"209167_at",2.17365678650528,7.77271748978505,17.9184247293212,3.39670828604928e-34,1.18263829278181e-31,67.3368503517903
"208609_s_at",1.7910367589328,7.68597469881308,17.9026371305415,3.64906182469056e-34,1.25095453291661e-31,67.2657472541225
"202877_s_at",1.1802628651031,9.22420711292523,17.8850413304292,3.9526192934469e-34,1.33448811690723e-31,67.1864624387279
"209897_s_at",1.96687274553413,9.57286258576636,17.8643474240019,4.34231078989282e-34,1.4343439763483e-31,67.0931665385274
"204894_s_at",1.86863650562632,8.98374679418692,17.8621062767186,4.38676979533901e-34,1.4343439763483e-31,67.0830592743984
"201539_s_at",2.40134199975686,7.48521481831776,17.8593790079008,4.44149056985294e-34,1.4343439763483e-31,67.0707587914033
"206093_x_at",1.41175062901548,9.51186562436449,17.8299184952839,5.07823571889548e-34,1.61654752177354e-31,66.9378250284307
"206167_s_at",1.940184724557,6.98617560125234,17.8187362690569,5.34330695751334e-34,1.67697054837e-31,66.8873383669733
"221747_at",1.77745502924877,10.196552879486,17.7688929778993,6.70485796438274e-34,2.07506041694917e-31,66.6621037026164
"220677_s_at",1.58153842644089,6.41484446175701,17.7590170819885,7.01355587058208e-34,2.14086391046822e-31,66.6174377422896
"204579_at",1.44925899378396,7.1009250096729,17.7252620278999,8.18078020854105e-34,2.46340980252595e-31,66.4646775213833
"220994_s_at",1.40548428456861,7.54106095333645,17.7017791383266,9.10631789993164e-34,2.70554775685569e-31,66.3583174496413
"202878_s_at",1.74853995848452,10.6624978896542,17.6828338435563,9.92929830310144e-34,2.91124413273697e-31,66.2724572608791
"203812_at",0.829753424216749,8.33605527813084,17.6524517204064,1.14082543127923e-33,3.29621655032673e-31,66.1346682538171
"217897_at",1.46265588558586,8.84487255570093,17.6499752042469,1.15381632152531e-33,3.29621655032673e-31,66.1234314887268
"206030_at",0.90296478380366,6.76992304437383,17.6281436196471,1.2749733102287e-33,3.58479764992586e-31,66.0243400805446
"212097_at",2.42030375389374,10.9838802776262,17.6236321675311,1.30156402033242e-33,3.58479764992586e-31,66.0038553508109
"220170_at",1.19385714455454,7.22522264618692,17.6233752849144,1.30309477917693e-33,3.58479764992586e-31,66.0026888685855
